event_time,account_id,transaction_amount,transaction_time,location,account_age,transaction_type,previous_fraud_history,is_fraud,acct_txn_count_prev,acct_amount_mean_prev5,amount_over_prev5_mean,hour_sin,hour_cos
2025-01-01 00:06:00,ACCT_00461,299065.1858296848,13,Miami,1907.0,ATM,0,1,0.0,0.0,299065.1858296848,-0.2588190451025208,-0.9659258262890683
2025-01-01 00:10:00,ACCT_00120,59562.1401142964,7,Entebbe,820.0,ATM,1,1,0.0,0.0,59562.1401142964,0.9659258262890683,-0.25881904510252063
2025-01-01 00:16:00,ACCT_00239,510577.5325077387,2,Online,1194.0,ACH,0,1,0.0,0.0,510577.5325077387,0.49999999999999994,0.8660254037844387
2025-01-01 00:27:00,ACCT_00509,641416.3168736974,10,LA,331.0,ATM,0,0,0.0,0.0,641416.3168736974,0.49999999999999994,-0.8660254037844387
2025-01-01 00:30:00,ACCT_00382,19960.57025465569,6,Entebbe,182.0,Card,0,1,0.0,0.0,19960.57025465569,1.0,6.123233995736766e-17
2025-01-01 00:38:00,ACCT_00423,43483.678400300254,13,LA,463.0,ACH,1,0,0.0,0.0,43483.678400300254,-0.2588190451025208,-0.9659258262890683
2025-01-01 00:48:00,ACCT_00061,241872.21524845393,19,Gulu,1377.0,Card,1,1,0.0,0.0,241872.21524845393,-0.9659258262890684,0.2588190451025203
2025-01-01 00:57:00,ACCT_00606,141954.97869980911,13,Online,597.0,Online_Payment,0,0,0.0,0.0,141954.97869980911,-0.2588190451025208,-0.9659258262890683
2025-01-01 01:07:00,ACCT_00051,203331.9118813176,13,Seattle,845.0,ATM,1,1,0.0,0.0,203331.9118813176,-0.2588190451025208,-0.9659258262890683
2025-01-01 01:18:00,ACCT_00443,74540.92874384299,1,NYC,1103.0,ACH,1,0,0.0,0.0,74540.92874384299,0.25881904510252074,0.9659258262890683
2025-01-01 01:19:00,ACCT_00399,596022.6302530481,15,Chicago,1064.0,ACH,0,0,0.0,0.0,596022.6302530481,-0.7071067811865471,-0.7071067811865479
2025-01-01 01:22:00,ACCT_00257,527606.8421742736,10,Gulu,41.0,ACH,1,1,0.0,0.0,527606.8421742736,0.49999999999999994,-0.8660254037844387
2025-01-01 01:24:00,ACCT_00523,224581.32786942436,2,Foreign,429.0,ATM,1,1,0.0,0.0,224581.32786942436,0.49999999999999994,0.8660254037844387
2025-01-01 01:31:00,ACCT_00557,802466.8254077933,5,Mbarara,3468.0,Card,0,0,0.0,0.0,802466.8254077933,0.9659258262890683,0.25881904510252074
2025-01-01 01:36:00,ACCT_00043,363584.69826379075,18,Gulu,2438.0,Online_Payment,1,1,0.0,0.0,363584.69826379075,-1.0,-1.8369701987210297e-16
2025-01-01 01:37:00,ACCT_00598,73984.09304696808,22,NYC,452.0,Card,0,0,0.0,0.0,73984.09304696808,-0.5000000000000004,0.8660254037844384
2025-01-01 01:44:00,ACCT_00150,322951.45171287796,12,Seattle,1036.0,Wire,0,0,0.0,0.0,322951.45171287796,1.2246467991473532e-16,-1.0
2025-01-01 01:46:00,ACCT_00494,65650.28524913023,23,Mbarara,1399.0,ATM,0,0,0.0,0.0,65650.28524913023,-0.25881904510252157,0.9659258262890681
2025-01-01 01:51:00,ACCT_00512,595345.2136456921,4,Online,3305.0,ATM,0,0,0.0,0.0,595345.2136456921,0.8660254037844386,0.5000000000000001
2025-01-01 01:56:00,ACCT_00347,195408.05727802162,7,Foreign,3210.0,Card,1,0,0.0,0.0,195408.05727802162,0.9659258262890683,-0.25881904510252063
